gene_symbol,ensembl_id,challenge_idx,lincs_entrez,lincs_feature_space,split
ATN1,ENSG00000111676,520,1822,best inferred,rest
PTPN6,ENSG00000111679,521,5777,landmark,panel
GOLT1B,ENSG00000111711,522,51026,landmark,panel
C2CD5,ENSG00000111731,523,9847,landmark,panel
RAB35,ENSG00000111737,524,11021,best inferred,rest
BTN3A3,ENSG00000111801,525,10384,best inferred,rest
RSPH4A,ENSG00000111834,526,,,rest
PPARD,ENSG00000112033,527,5467,landmark,panel
MCM3,ENSG00000112118,528,4172,landmark,panel
MDN1,ENSG00000112159,529,23195,best inferred,rest
ZNF451,ENSG00000112200,530,26036,landmark,panel
ASCC3,ENSG00000112249,531,10973,landmark,panel
GMNN,ENSG00000112312,532,51053,landmark,panel
SLC22A2,ENSG00000112499,533,6582,inferred,rest
CCND3,ENSG00000112576,534,896,landmark,panel
TBP,ENSG00000112592,535,6908,landmark,panel
PTK7,ENSG00000112655,536,5754,best inferred,rest
DNPH1,ENSG00000112667,537,10591,best inferred,rest
DUSP22,ENSG00000112679,538,56940,landmark,panel
EXOC2,ENSG00000112685,539,55770,best inferred,rest
SENP6,ENSG00000112701,540,26054,landmark,panel
TBX18,ENSG00000112837,541,,,rest
TENT4A,ENSG00000112941,542,11044,landmark,panel
GHR,ENSG00000112964,543,2690,landmark,panel
HMGCS1,ENSG00000112972,544,3157,landmark,panel
KIF20A,ENSG00000112984,545,10112,landmark,panel
NNT,ENSG00000112992,546,23530,landmark,panel
HMGCR,ENSG00000113161,547,3156,landmark,panel
GNPDA1,ENSG00000113552,548,10007,landmark,panel
SKP1,ENSG00000113558,549,6500,landmark,panel
NR3C1,ENSG00000113580,550,2908,landmark,panel
TCERG1,ENSG00000113649,551,10915,landmark,panel
CSNK1A1,ENSG00000113712,552,1452,landmark,panel
HMGXB3,ENSG00000113716,553,22993,best inferred,rest
SMC4,ENSG00000113810,554,10051,landmark,panel
PCCB,ENSG00000114054,555,5096,landmark,panel
RNF7,ENSG00000114125,556,9616,best inferred,rest
HES1,ENSG00000114315,557,3280,landmark,panel
GNAI2,ENSG00000114353,558,2771,landmark,panel
NPRL2,ENSG00000114388,559,10641,landmark,panel
CBLB,ENSG00000114423,560,868,landmark,panel
IQCG,ENSG00000114473,561,84223,best inferred,rest
UMPS,ENSG00000114491,562,7372,best inferred,rest
KIAA1257,ENSG00000114656,563,,,rest
MAPKAPK3,ENSG00000114738,564,7867,landmark,panel
ABCC5,ENSG00000114770,565,10057,landmark,panel
TNNC1,ENSG00000114854,566,7134,best inferred,rest
EIF4G1,ENSG00000114867,567,1981,landmark,panel
TTL,ENSG00000114999,568,,,rest
PIKFYVE,ENSG00000115020,569,200576,best inferred,rest
NCL,ENSG00000115053,570,4691,best inferred,rest
FN1,ENSG00000115414,571,2335,best inferred,rest
STAT1,ENSG00000115415,572,6772,landmark,panel
PAPOLG,ENSG00000115421,573,64895,best inferred,rest
PECR,ENSG00000115425,574,55825,landmark,panel
KCNJ13,ENSG00000115474,575,,,rest
TXNDC9,ENSG00000115514,576,10190,landmark,panel
ST3GAL5,ENSG00000115525,577,8869,landmark,panel
KDM3A,ENSG00000115548,578,55818,landmark,panel
IL1R1,ENSG00000115594,579,3554,best inferred,rest
FHL2,ENSG00000115641,580,2274,landmark,panel
ABCB6,ENSG00000115657,581,10058,landmark,panel
SLC5A7,ENSG00000115665,582,60482,inferred,rest
STK25,ENSG00000115694,583,10494,landmark,panel
ID2,ENSG00000115738,584,3398,landmark,panel
GORASP2,ENSG00000115806,585,26003,best inferred,rest
CEBPZ,ENSG00000115816,586,10153,landmark,panel
DARS,ENSG00000115866,587,1615,best inferred,rest
SLC1A4,ENSG00000115902,588,6509,landmark,panel
TRAK2,ENSG00000115993,589,66008,landmark,panel
PCYOX1,ENSG00000116005,590,51449,best inferred,rest
NFE2L2,ENSG00000116044,591,4780,landmark,panel
MSH6,ENSG00000116062,592,2956,landmark,panel
SPR,ENSG00000116096,593,6697,landmark,panel
BCL9,ENSG00000116128,594,607,best inferred,rest
GPX7,ENSG00000116157,595,2882,best inferred,rest
SCP2,ENSG00000116171,596,6342,landmark,panel
FAM20B,ENSG00000116199,597,9917,landmark,panel
ICMT,ENSG00000116237,598,23463,landmark,panel
OPRD1,ENSG00000116329,599,4985,inferred,rest
SRSF4,ENSG00000116350,600,6429,best inferred,rest
CAPZA1,ENSG00000116489,601,829,best inferred,rest
ARHGEF2,ENSG00000116584,602,9181,landmark,panel
PLA2G4A,ENSG00000116711,603,5321,landmark,panel
GADD45A,ENSG00000116717,604,1647,landmark,panel
RGS2,ENSG00000116741,605,5997,landmark,panel
CRYZ,ENSG00000116791,606,1429,landmark,panel
CD58,ENSG00000116815,607,965,landmark,panel
LGALS8,ENSG00000116977,608,3964,landmark,panel
AKT3,ENSG00000117020,609,10000,best inferred,rest
SDHB,ENSG00000117118,610,6390,landmark,panel
KDM5B,ENSG00000117139,611,10765,landmark,panel
GALE,ENSG00000117308,612,2582,landmark,panel
EBNA1BP2,ENSG00000117395,613,10969,landmark,panel
CDC20,ENSG00000117399,614,991,landmark,panel
IPO13,ENSG00000117408,615,9670,landmark,panel
ATP6V0B,ENSG00000117410,616,533,landmark,panel
PIK3R3,ENSG00000117461,617,8503,landmark,panel
FAAH,ENSG00000117480,618,2166,best inferred,rest
RCAN3,ENSG00000117602,619,11123,best inferred,rest
SLC35A3,ENSG00000117620,620,23443,landmark,panel
STMN1,ENSG00000117632,621,3925,landmark,panel
MAN1C1,ENSG00000117643,622,57134,best inferred,rest
DHDDS,ENSG00000117682,623,79947,landmark,panel
NENF,ENSG00000117691,624,29937,landmark,panel
RPA2,ENSG00000117748,625,6118,landmark,panel
OSBPL9,ENSG00000117859,626,114883,best inferred,rest
CTSD,ENSG00000117984,627,1509,landmark,panel
KIF14,ENSG00000118193,628,9928,landmark,panel
CAMSAP2,ENSG00000118200,629,23271,landmark,panel
ATF6,ENSG00000118217,630,22926,landmark,panel
CREB1,ENSG00000118260,631,1385,landmark,panel
RNF146,ENSG00000118518,632,81847,best inferred,rest
RXYLT1,ENSG00000118600,633,10329,landmark,panel
FOXO3,ENSG00000118689,634,2309,landmark,panel
SPP1,ENSG00000118785,635,6696,landmark,panel
ITGB1BP1,ENSG00000119185,636,9270,landmark,panel
CCDC92,ENSG00000119242,637,80212,landmark,panel
HEATR1,ENSG00000119285,638,55127,landmark,panel
RAD23B,ENSG00000119318,639,5887,best inferred,rest
CTNNAL1,ENSG00000119326,640,8727,landmark,panel
GLE1,ENSG00000119392,641,2733,best inferred,rest
CNTRL,ENSG00000119397,642,11064,best inferred,rest
ZBTB45,ENSG00000119574,643,,,rest
TGFB3,ENSG00000119699,644,7043,landmark,panel
SLIRP,ENSG00000119705,645,81892,best inferred,rest
SUPT7L,ENSG00000119760,646,9913,best inferred,rest
DNMT3A,ENSG00000119772,647,1788,landmark,panel
IDE,ENSG00000119912,648,3416,landmark,panel
SMNDC1,ENSG00000119953,649,10285,landmark,panel
MTHFD1L,ENSG00000120254,650,,,rest
PCMT1,ENSG00000120265,651,5110,landmark,panel
CENPL,ENSG00000120334,652,,,rest
GORAB,ENSG00000120370,653,,,rest
ACAT2,ENSG00000120437,654,39,landmark,panel
NUDCD1,ENSG00000120526,655,,,rest
DNAJC15,ENSG00000120675,656,29103,landmark,panel
UFM1,ENSG00000120686,657,51569,landmark,panel
SMAD9,ENSG00000120693,658,4093,best inferred,rest
EGR1,ENSG00000120738,659,1958,landmark,panel
PLS1,ENSG00000120756,660,5357,landmark,panel
NR2C1,ENSG00000120798,661,7181,best inferred,rest
MTERF2,ENSG00000120832,662,,,rest
SOCS2,ENSG00000120833,663,8835,landmark,panel
DUSP4,ENSG00000120875,664,1846,landmark,panel
SORBS3,ENSG00000120896,665,10174,landmark,panel
PTK2B,ENSG00000120899,666,2185,landmark,panel
NPPB,ENSG00000120937,667,4879,inferred,rest
LYPLA1,ENSG00000120992,668,10434,landmark,panel
TBX2,ENSG00000121068,669,6909,landmark,panel
SLC35B1,ENSG00000121073,670,10237,landmark,panel
CAT,ENSG00000121691,671,847,landmark,panel
ZMYM2,ENSG00000121741,672,7750,landmark,panel
PIK3CA,ENSG00000121879,673,5290,landmark,panel
PDS5A,ENSG00000121892,674,23244,landmark,panel
CXCR4,ENSG00000121966,675,7852,landmark,panel
ZRANB3,ENSG00000121988,676,,,rest
FYTTD1,ENSG00000122068,677,,,rest
TBX22,ENSG00000122145,678,,,rest
NAA60,ENSG00000122390,679,79903,inferred,rest
LRRC39,ENSG00000122477,680,,,rest
RWDD3,ENSG00000122481,681,25950,best inferred,rest
SLC66A2,ENSG00000122490,682,80148,best inferred,rest
BBS9,ENSG00000122507,683,27241,best inferred,rest
INHBA,ENSG00000122641,684,3624,best inferred,rest
DCAF10,ENSG00000122741,685,79269,best inferred,rest
CISD1,ENSG00000122873,686,55847,landmark,panel
ECD,ENSG00000122882,687,11319,landmark,panel
SSPN,ENSG00000123096,688,8082,best inferred,rest
ACOT9,ENSG00000123130,689,23597,landmark,panel
ADGRE5,ENSG00000123146,690,976,landmark,panel
WDR83,ENSG00000123154,691,,,rest
SPRYD7,ENSG00000123178,692,57213,best inferred,rest
ATF1,ENSG00000123268,693,466,landmark,panel
PDE1B,ENSG00000123360,694,5153,best inferred,rest
CDK2,ENSG00000123374,695,1017,landmark,panel
LRP1,ENSG00000123384,696,4035,best inferred,rest
SARDH,ENSG00000123453,697,1757,best inferred,rest
LPGAT1,ENSG00000123684,698,9926,landmark,panel
BATF3,ENSG00000123685,699,55509,best inferred,rest
PLA2G12A,ENSG00000123739,700,81579,best inferred,rest
NCOA3,ENSG00000124151,701,8202,landmark,panel
VAPB,ENSG00000124164,702,9217,landmark,panel
SRSF6,ENSG00000124193,703,6431,best inferred,rest
NEURL2,ENSG00000124257,704,,,rest
STAMBP,ENSG00000124356,705,10617,landmark,panel
USP22,ENSG00000124422,706,23326,landmark,panel
GRM4,ENSG00000124493,707,2914,inferred,rest
WRNIP1,ENSG00000124535,708,56897,inferred,rest
UNC5CL,ENSG00000124602,709,,,rest
HIST1H1A,ENSG00000124610,710,3024,inferred,rest
SPDEF,ENSG00000124664,711,25803,landmark,panel
CDKN1A,ENSG00000124762,712,1026,landmark,panel
SOX4,ENSG00000124766,713,6659,landmark,panel
SSR1,ENSG00000124783,714,6745,best inferred,rest
EFNB2,ENSG00000125266,715,1948,best inferred,rest
TM9SF2,ENSG00000125304,716,9375,landmark,panel
UPF3B,ENSG00000125351,717,65109,best inferred,rest
DMAC2L,ENSG00000125375,718,27109,landmark,panel
BMP4,ENSG00000125378,719,652,landmark,panel
MYH2,ENSG00000125414,720,4620,inferred,rest
NUP85,ENSG00000125450,721,79902,landmark,panel
MSTO1,ENSG00000125459,722,,,rest
C1orf61,ENSG00000125462,723,10485,best inferred,rest
KIR2DL1,ENSG00000125498,724,3802,inferred,rest
MBOAT7,ENSG00000125505,725,79143,landmark,panel
IL1B,ENSG00000125538,726,3553,landmark,panel
PAX8,ENSG00000125618,727,7849,landmark,panel
SNRPD2,ENSG00000125743,728,6633,best inferred,rest
RTN2,ENSG00000125744,729,6253,landmark,panel
EML2,ENSG00000125746,730,24139,best inferred,rest
TGM3,ENSG00000125780,731,7053,best inferred,rest
NKX2-4,ENSG00000125816,732,,,rest
PSMF1,ENSG00000125818,733,9491,landmark,panel
DSTN,ENSG00000125868,734,11034,best inferred,rest
BPIFB1,ENSG00000125999,735,,,rest
PLAGL2,ENSG00000126003,736,5326,best inferred,rest
UROD,ENSG00000126088,737,7389,best inferred,rest
FFAR2,ENSG00000126262,738,2867,inferred,rest
BECN1,ENSG00000126581,739,8678,landmark,panel
TRAP1,ENSG00000126602,740,10131,landmark,panel
TIMM17B,ENSG00000126768,741,10245,landmark,panel
KTN1,ENSG00000126777,742,3895,landmark,panel
PLEKHG3,ENSG00000126822,743,26030,best inferred,rest
MAP2K2,ENSG00000126934,744,5605,best inferred,rest
TRAF2,ENSG00000127191,745,7186,best inferred,rest
PIN1,ENSG00000127445,746,5300,landmark,panel
FBXL12,ENSG00000127452,747,54850,landmark,panel
OR7C1,ENSG00000127530,748,26664,inferred,rest
UQCR11,ENSG00000127540,749,10975,best inferred,rest
SYNGR3,ENSG00000127561,750,9143,landmark,panel
MACF1,ENSG00000127603,751,23499,landmark,panel
SMARCA4,ENSG00000127616,752,6597,landmark,panel
TICAM1,ENSG00000127666,753,148022,landmark,panel
AKAP9,ENSG00000127914,754,10142,best inferred,rest
SEM1,ENSG00000127922,755,7979,best inferred,rest
PTPN12,ENSG00000127947,756,5782,landmark,panel
POR,ENSG00000127948,757,5447,best inferred,rest
GNAI1,ENSG00000127955,758,2770,landmark,panel
ZFP36,ENSG00000128016,759,7538,landmark,panel
PAICS,ENSG00000128050,760,10606,landmark,panel
CDC42EP1,ENSG00000128283,761,11135,best inferred,rest
TPST2,ENSG00000128294,762,8459,best inferred,rest
RAC2,ENSG00000128340,763,5880,landmark,panel
DOCK4,ENSG00000128512,764,9732,best inferred,rest
CALU,ENSG00000128595,765,813,landmark,panel
CHN1,ENSG00000128656,766,1123,landmark,panel
OSGEPL1,ENSG00000128694,767,64172,best inferred,rest
HAT1,ENSG00000128708,768,8520,landmark,panel
CHAC1,ENSG00000128965,769,79094,landmark,panel
CLN6,ENSG00000128973,770,54982,best inferred,rest
ARPP19,ENSG00000128989,771,10776,landmark,panel
LOXL1,ENSG00000129038,772,4016,landmark,panel
PSMA1,ENSG00000129084,773,5682,best inferred,rest
DCTD,ENSG00000129187,774,1635,landmark,panel
TXNDC17,ENSG00000129235,775,,,rest
PHF20L1,ENSG00000129292,776,51105,best inferred,rest
ILF3,ENSG00000129351,777,3609,best inferred,rest
ADCY4,ENSG00000129467,778,,,rest
PARP2,ENSG00000129484,779,10038,landmark,panel
SNX6,ENSG00000129515,780,58533,landmark,panel
EAPP,ENSG00000129518,781,55837,landmark,panel
TEP1,ENSG00000129566,782,7011,best inferred,rest
REEP5,ENSG00000129625,783,7905,landmark,panel
ITFG1,ENSG00000129636,784,81533,landmark,panel
ART1,ENSG00000129744,785,417,inferred,rest
MAU2,ENSG00000129933,786,23383,best inferred,rest
STARD8,ENSG00000130052,787,9754,best inferred,rest
LDLR,ENSG00000130164,788,3949,best inferred,rest
CNN1,ENSG00000130176,789,1264,best inferred,rest
APOE,ENSG00000130203,790,348,landmark,panel
XPO7,ENSG00000130227,791,23039,landmark,panel
ACSBG2,ENSG00000130377,792,81616,inferred,rest
FCHO1,ENSG00000130475,793,23149,landmark,panel
JUND,ENSG00000130522,794,3727,best inferred,rest
OLFM1,ENSG00000130558,795,10439,best inferred,rest
PAK4,ENSG00000130669,796,10298,landmark,panel
TAF4,ENSG00000130699,797,6874,best inferred,rest
OSBPL2,ENSG00000130703,798,9885,best inferred,rest
DNMT1,ENSG00000130816,799,1786,landmark,panel
PKDREJ,ENSG00000130943,800,10343,inferred,rest
RGN,ENSG00000130988,801,9104,best inferred,rest
LILRB2,ENSG00000131042,802,10288,best inferred,rest
F12,ENSG00000131187,803,2161,best inferred,rest
PRR7,ENSG00000131188,804,80758,landmark,panel
SH3BP5,ENSG00000131370,805,9467,landmark,panel
TBC1D5,ENSG00000131374,806,9779,best inferred,rest
NR1H2,ENSG00000131408,807,7376,landmark,panel
ACLY,ENSG00000131473,808,47,landmark,panel
IL13RA1,ENSG00000131724,809,3597,landmark,panel
TOP2A,ENSG00000131747,810,7153,landmark,panel
STARD3,ENSG00000131748,811,10948,best inferred,rest
ZNF132,ENSG00000131849,812,7691,best inferred,rest
RHPN2,ENSG00000131941,813,,,rest
DNAJB1,ENSG00000132002,814,3337,landmark,panel
LRRC41,ENSG00000132128,815,10489,landmark,panel
PPARG,ENSG00000132170,816,5468,landmark,panel
ENOSF1,ENSG00000132199,817,55556,landmark,panel
ARFIP2,ENSG00000132254,818,23647,landmark,panel
RRP8,ENSG00000132275,819,23378,landmark,panel
RPA1,ENSG00000132383,820,6117,landmark,panel
MTSS2,ENSG00000132613,821,92154,best inferred,rest
SNAP25,ENSG00000132639,822,6616,landmark,panel
PCNA,ENSG00000132646,823,5111,landmark,panel
KHDC4,ENSG00000132680,824,22889,landmark,panel
HAPLN2,ENSG00000132702,825,60484,best inferred,rest
DPH2,ENSG00000132768,826,1802,landmark,panel
CASP9,ENSG00000132906,827,842,best inferred,rest
USPL1,ENSG00000132952,828,10208,best inferred,rest
CDK8,ENSG00000132964,829,1024,best inferred,rest
WASF3,ENSG00000132970,830,10810,landmark,panel
PIK3C2B,ENSG00000133056,831,5287,landmark,panel
CCNA1,ENSG00000133101,832,8900,landmark,panel
TRPC4,ENSG00000133107,833,7223,best inferred,rest
BEX2,ENSG00000133134,834,,,rest
TCEAL4,ENSG00000133142,835,79921,landmark,panel
EPHB2,ENSG00000133216,836,2048,landmark,panel
CNDP2,ENSG00000133313,837,55748,landmark,panel
MYH11,ENSG00000133392,838,4629,best inferred,rest
FOPNL,ENSG00000133393,839,,,rest
PDZD2,ENSG00000133401,840,23037,best inferred,rest
IMPA1,ENSG00000133731,841,3612,best inferred,rest
CCNB1,ENSG00000134057,842,891,landmark,panel
CDK7,ENSG00000134058,843,1022,landmark,panel
BHLHE40,ENSG00000134107,844,8553,landmark,panel
EDEM1,ENSG00000134109,845,9695,landmark,panel
EMC7,ENSG00000134153,846,56851,best inferred,rest
VAV3,ENSG00000134215,847,10451,landmark,panel
PSRC1,ENSG00000134222,848,84722,landmark,panel
ANO3,ENSG00000134343,849,63982,best inferred,rest
CCNH,ENSG00000134480,850,902,landmark,panel
TMEM241,ENSG00000134490,851,,,rest
DDB2,ENSG00000134574,852,1643,landmark,panel
CDCA8,ENSG00000134690,853,55143,best inferred,rest
DSG3,ENSG00000134757,854,1830,best inferred,rest
ERCC5,ENSG00000134899,855,2073,best inferred,rest
STT3A,ENSG00000134910,856,3703,best inferred,rest
ETS1,ENSG00000134954,857,2113,landmark,panel
CTSL,ENSG00000135047,858,1514,landmark,panel
CEMIP2,ENSG00000135048,859,23670,landmark,panel
FBXO21,ENSG00000135108,860,23014,landmark,panel
HRK,ENSG00000135116,861,8739,best inferred,rest
BICDL1,ENSG00000135127,862,92558,best inferred,rest
DMTF1,ENSG00000135164,863,9988,landmark,panel
TES,ENSG00000135269,864,26136,landmark,panel
MRAP2,ENSG00000135324,865,,,rest
PRPH,ENSG00000135406,866,5630,inferred,rest
AVIL,ENSG00000135407,867,10677,inferred,rest
GDF11,ENSG00000135414,868,10220,best inferred,rest
CDK4,ENSG00000135446,869,1019,landmark,panel
TFCP2,ENSG00000135457,870,7024,best inferred,rest
PAN2,ENSG00000135473,871,9924,landmark,panel
MAP7,ENSG00000135525,872,9053,landmark,panel
DYSF,ENSG00000135636,873,8291,best inferred,rest
KCNK1,ENSG00000135750,874,3775,landmark,panel
COG2,ENSG00000135775,875,22796,landmark,panel
USP37,ENSG00000135913,876,,,rest
DNAJB2,ENSG00000135924,877,3300,landmark,panel
CAB39,ENSG00000135932,878,51719,landmark,panel
REV1,ENSG00000135945,879,51455,best inferred,rest
C2orf49,ENSG00000135974,880,79074,best inferred,rest
PWP1,ENSG00000136045,881,11137,landmark,panel
WASHC4,ENSG00000136051,882,23325,landmark,panel
FLNB,ENSG00000136068,883,2317,best inferred,rest
TBC1D4,ENSG00000136111,884,9882,best inferred,rest
SCRN1,ENSG00000136193,885,9805,landmark,panel
KDELR2,ENSG00000136240,886,11014,landmark,panel
BZW2,ENSG00000136261,887,28969,landmark,panel
TTYH3,ENSG00000136295,888,,,rest
TTC5,ENSG00000136319,889,,,rest
NMT1,ENSG00000136448,890,4836,landmark,panel
SCN2A,ENSG00000136531,891,6326,inferred,rest
EPRS,ENSG00000136628,892,2058,landmark,panel
IL36B,ENSG00000136696,893,,,rest
YME1L1,ENSG00000136758,894,10730,landmark,panel
TOR1A,ENSG00000136827,895,1861,landmark,panel
STXBP1,ENSG00000136854,896,6812,landmark,panel
TLR4,ENSG00000136869,897,7099,landmark,panel
PRPF4,ENSG00000136875,898,9128,landmark,panel
FPGS,ENSG00000136877,899,2356,landmark,panel
USP20,ENSG00000136878,900,10868,best inferred,rest
TEX10,ENSG00000136891,901,54881,landmark,panel
MYC,ENSG00000136997,902,4609,landmark,panel
DENND4C,ENSG00000137145,903,55667,best inferred,rest
CNPY3,ENSG00000137161,904,10695,landmark,panel
PPIL1,ENSG00000137168,905,,,rest
ZSCAN9,ENSG00000137185,906,7746,best inferred,rest
TFAP2A,ENSG00000137203,907,7020,landmark,panel
TUBB2A,ENSG00000137267,908,7280,best inferred,rest
BPHL,ENSG00000137274,909,670,landmark,panel
IER3,ENSG00000137331,910,8870,landmark,panel
ARRB1,ENSG00000137486,911,408,best inferred,rest
SLCO2B1,ENSG00000137491,912,11309,best inferred,rest
PRCP,ENSG00000137509,913,5547,landmark,panel
SDCBP,ENSG00000137575,914,6386,best inferred,rest
SORL1,ENSG00000137642,915,6653,best inferred,rest
MMP20,ENSG00000137674,916,9313,inferred,rest
DCUN1D5,ENSG00000137692,917,,,rest
TRIM29,ENSG00000137699,918,23650,best inferred,rest
SLC37A4,ENSG00000137700,919,2542,landmark,panel
RDX,ENSG00000137710,920,5962,best inferred,rest
FXYD6,ENSG00000137726,921,53826,best inferred,rest
MAP2K5,ENSG00000137764,922,5607,landmark,panel
SQOR,ENSG00000137767,923,58472,landmark,panel
CTDSPL2,ENSG00000137770,924,,,rest
NUSAP1,ENSG00000137804,925,51203,landmark,panel
KIF23,ENSG00000137807,926,9493,best inferred,rest
PAK6,ENSG00000137843,927,56924,landmark,panel
ADAM10,ENSG00000137845,928,102,landmark,panel
SLC5A6,ENSG00000138074,929,8884,landmark,panel
FBXO11,ENSG00000138081,930,80204,landmark,panel
ANXA7,ENSG00000138279,931,310,landmark,panel
TET1,ENSG00000138336,932,,,rest
GUCA1C,ENSG00000138472,933,,,rest
SECISBP2L,ENSG00000138593,934,9728,best inferred,rest
HERC6,ENSG00000138642,935,55008,landmark,panel
PRDM5,ENSG00000138738,936,11107,best inferred,rest
CDKL2,ENSG00000138769,937,8999,best inferred,rest
CENPE,ENSG00000138778,938,1062,landmark,panel
HADH,ENSG00000138796,939,3033,landmark,panel
EGF,ENSG00000138798,940,1950,landmark,panel
MTTP,ENSG00000138823,941,4547,inferred,rest
LLPH,ENSG00000139233,942,84298,inferred,rest
DUSP6,ENSG00000139318,943,1848,landmark,panel
AMDHD1,ENSG00000139344,944,,,rest
TCHP,ENSG00000139437,945,,,rest
GALNT6,ENSG00000139629,946,11226,best inferred,rest
ZNF740,ENSG00000139651,947,,,rest
RB1,ENSG00000139687,948,5925,landmark,panel
RBM26,ENSG00000139746,949,64062,best inferred,rest
MBNL2,ENSG00000139793,950,10150,landmark,panel
REM2,ENSG00000139890,951,,,rest
KCNH5,ENSG00000140015,952,,,rest
GPR65,ENSG00000140030,953,8477,best inferred,rest
FAM181A,ENSG00000140067,954,,,rest
WDR20,ENSG00000140153,955,,,rest
BNIP2,ENSG00000140299,956,663,best inferred,rest
GTF2A2,ENSG00000140307,957,2958,landmark,panel
UBE2Q2,ENSG00000140367,958,,,rest
PSTPIP1,ENSG00000140368,959,9051,best inferred,rest
BCL2A1,ENSG00000140379,960,597,best inferred,rest
TSPAN3,ENSG00000140391,961,10099,landmark,panel
WDR61,ENSG00000140395,962,80349,landmark,panel
TPM1,ENSG00000140416,963,7168,landmark,panel
IGF1R,ENSG00000140443,964,3480,landmark,panel
NTRK3,ENSG00000140538,965,4916,best inferred,rest
DET1,ENSG00000140543,966,55070,best inferred,rest
IQGAP1,ENSG00000140575,967,8826,landmark,panel
PMM2,ENSG00000140650,968,5373,landmark,panel
PARN,ENSG00000140694,969,5073,best inferred,rest
TXNL4B,ENSG00000140830,970,54957,landmark,panel
NOL3,ENSG00000140939,971,8996,landmark,panel
MBTPS1,ENSG00000140943,972,8720,landmark,panel
OSGIN1,ENSG00000140961,973,29948,best inferred,rest
IRF8,ENSG00000140968,974,3394,best inferred,rest
RHOT2,ENSG00000140983,975,89941,best inferred,rest
PDPK1,ENSG00000140992,976,5170,best inferred,rest
OR4D1,ENSG00000141194,977,,,rest
VPS53,ENSG00000141252,978,55275,best inferred,rest
SPATA22,ENSG00000141255,979,,,rest
CLTC,ENSG00000141367,980,1213,landmark,panel
SLC39A6,ENSG00000141424,981,25800,best inferred,rest
PELP1,ENSG00000141456,982,27043,best inferred,rest
NPC1,ENSG00000141458,983,4864,landmark,panel
MINK1,ENSG00000141503,984,50488,best inferred,rest
SAT2,ENSG00000141504,985,,,rest
TP53,ENSG00000141510,986,7157,landmark,panel
PMAIP1,ENSG00000141682,987,5366,landmark,panel
ERBB2,ENSG00000141736,988,2064,landmark,panel
GRB7,ENSG00000141738,989,2886,landmark,panel
MVB12A,ENSG00000141971,990,,,rest
CCDC97,ENSG00000142039,991,,,rest
SIRT3,ENSG00000142082,992,23410,landmark,panel
IFNAR1,ENSG00000142166,993,3454,landmark,panel
APP,ENSG00000142192,994,351,landmark,panel
AKT1,ENSG00000142208,995,207,landmark,panel
PSMB6,ENSG00000142507,996,5694,best inferred,rest
NOSIP,ENSG00000142546,997,51070,landmark,panel
EPHA2,ENSG00000142627,998,1969,best inferred,rest
WDTC1,ENSG00000142784,999,23038,landmark,panel
KIF2C,ENSG00000142945,1000,11004,landmark,panel
PTPRF,ENSG00000142949,1001,5792,landmark,panel
MTF2,ENSG00000143033,1002,22823,landmark,panel
ATP1B1,ENSG00000143153,1003,481,landmark,panel
MPC2,ENSG00000143158,1004,25874,landmark,panel
CREG1,ENSG00000143162,1005,8804,landmark,panel
TMCO1,ENSG00000143183,1006,54499,landmark,panel
ILDR2,ENSG00000143195,1007,,,rest
MGST3,ENSG00000143198,1008,4259,best inferred,rest
COP1,ENSG00000143207,1009,,,rest
UFC1,ENSG00000143222,1010,51506,best inferred,rest
PPOX,ENSG00000143224,1011,5498,landmark,panel
PFDN2,ENSG00000143256,1012,5202,best inferred,rest
PIGM,ENSG00000143315,1013,,,rest
PRUNE1,ENSG00000143363,1014,58497,landmark,panel
SF3B4,ENSG00000143368,1015,10262,best inferred,rest
ADAMTSL4,ENSG00000143382,1016,54507,best inferred,rest
RFX5,ENSG00000143390,1017,5993,landmark,panel
MINDY1,ENSG00000143409,1018,55793,landmark,panel
OAZ3,ENSG00000143450,1019,51686,inferred,rest
DYRK3,ENSG00000143479,1020,8444,landmark,panel
DUSP10,ENSG00000143507,1021,11221,best inferred,rest
TP53BP2,ENSG00000143514,1022,7159,landmark,panel
SLC27A3,ENSG00000143554,1023,11000,landmark,panel
INTS3,ENSG00000143624,1024,65123,landmark,panel
SCCPDH,ENSG00000143653,1025,51097,landmark,panel
NVL,ENSG00000143748,1026,4931,landmark,panel
MBOAT2,ENSG00000143797,1027,129642,best inferred,rest
PARP1,ENSG00000143799,1028,142,landmark,panel
LBR,ENSG00000143815,1029,3930,landmark,panel
ZNF514,ENSG00000144026,1030,,,rest
NAT8,ENSG00000144035,1031,,,rest
SFXN5,ENSG00000144040,1032,,,rest
DUSP11,ENSG00000144048,1033,8446,landmark,panel
RALB,ENSG00000144118,1034,5899,landmark,panel
LIPT1,ENSG00000144182,1035,51601,inferred,rest
HSPD1,ENSG00000144381,1036,3329,landmark,panel
ACKR3,ENSG00000144476,1037,57007,best inferred,rest
VGLL4,ENSG00000144560,1038,9686,landmark,panel
TMF1,ENSG00000144747,1039,7110,best inferred,rest
ATG3,ENSG00000144848,1040,64422,landmark,panel
TRPC1,ENSG00000144935,1041,7220,best inferred,rest
TCTA,ENSG00000145022,1042,6988,landmark,panel
NICN1,ENSG00000145029,1043,,,rest
STXBP5L,ENSG00000145087,1044,9515,best inferred,rest
