gene_symbol,challenge_idx,split
TGFBR2,1271,panel
ANKZF1,1272,rest
FBLN2,1273,rest
EIF5A2,1274,rest
GTPBP8,1275,panel
CDS1,1276,rest
TIPARP,1277,panel
SLMAP,1278,rest
ABHD6,1279,panel
RBM47,1280,rest
APBB2,1281,panel
IL17RC,1282,rest
CXCL3,1283,rest
CPA3,1284,rest
TOPBP1,1285,panel
KIF15,1286,rest
WDR43,1287,rest
SLC6A20,1288,rest
DTX3L,1289,rest
YEATS2,1290,rest
GRIK3,1291,rest
ZC3H12A,1292,rest
KLF15,1293,rest
RPN1,1294,panel
PRKCD,1295,panel
GNL3,1296,rest
LRPAP1,1297,panel
ZNF691,1298,rest
PGRMC2,1299,rest
CDC25A,1300,panel
CAMP,1301,rest
ZNF589,1302,panel
DUSP7,1303,rest
OTUD4,1304,rest
LSM6,1305,panel
SLC25A46,1306,panel
CASP3,1307,panel
CMYA5,1308,rest
TERT,1309,panel
LEAP2,1310,rest
SLC35A1,1311,panel
TXLNB,1312,rest
CREBRF,1313,rest
RAET1E,1314,rest
COG5,1315,rest
KIF6,1316,rest
TEX47,1317,rest
GPER1,1318,panel
NOS3,1319,panel
SLC4A2,1320,rest
GBX1,1321,rest
ALDH7A1,1322,panel
FZD6,1323,rest
WASHC5,1324,panel
RPP25L,1325,rest
PSIP1,1326,panel
SYK,1327,panel
ABCA1,1328,rest
NFIL3,1329,panel
ZMAT4,1330,rest
KIF27,1331,rest
DYNLT3,1332,panel
KIAA1958,1333,rest
STOML2,1334,rest
BRWD3,1335,rest
MELK,1336,panel
CLDN2,1337,rest
WRN,1338,rest
INPPL1,1339,rest
CRYL1,1340,rest
KLHDC2,1341,panel
VSTM4,1342,rest
HPRT1,1343,panel
PIP4P1,1344,rest
CASP7,1345,panel
ZFYVE1,1346,rest
PACSIN3,1347,panel
HTRA1,1348,panel
CEP57,1349,panel
IL25,1350,rest
TRMT61A,1351,rest
NOLC1,1352,panel
FRS2,1353,panel
PCBD1,1354,panel
ILK,1355,panel
ATP9B,1356,rest
CYB5R2,1357,rest
KIAA0355,1358,panel
TRIM66,1359,rest
ATMIN,1360,panel
C16orf46,1361,rest
HDGFL3,1362,panel
CFAP52,1363,rest
BLCAP,1364,panel
PLEKHA7,1365,rest
CATSPER2,1366,rest
PLIN1,1367,rest
PEX11A,1368,panel
TERF2IP,1369,panel
PLK1,1370,panel
CLPX,1371,panel
SMAD3,1372,panel
PRR15L,1373,panel
CRK,1374,panel
CA4,1375,rest
GATAD2A,1376,rest
DHRS13,1377,rest
CORO6,1378,rest
TUBA1C,1379,rest
GPD1,1380,rest
CYP2S1,1381,rest
LENG8,1382,rest
TRAPPC9,1383,rest
DNAAF3,1384,rest
TMIGD2,1385,rest
TLCD3A,1386,panel
GLOD4,1387,panel
TSR1,1388,rest
TRPV3,1389,rest
ANGPTL4,1390,rest
CD320,1391,panel
HID1,1392,rest
KCTD5,1393,panel
TRANK1,1394,rest
CTNNB1,1395,rest
MAJIN,1396,rest
PBK,1397,rest
RAB4A,1398,panel
MAPK1IP1L,1399,panel
DDIT4,1400,panel
NT5DC2,1401,panel
KIF5C,1402,panel
THAP11,1403,panel
KCTD6,1404,rest
XIRP1,1405,rest
ARF4,1406,rest
MLKL,1407,rest
COG7,1408,panel
RAB31,1409,panel
GBX2,1410,rest
TMEM223,1411,rest
STAT3,1412,panel
PKIG,1413,panel
TET2,1414,rest
TSPAN5,1415,rest
MAT2A,1416,panel
PPIC,1417,panel
STXBP6,1418,rest
ATF5,1419,panel
NSMCE1,1420,rest
RGS14,1421,rest
TBC1D10B,1422,rest
ADRB2,1423,panel
STK32A,1424,rest
ELSPBP1,1425,rest
PTK2,1426,panel
CLIC4,1427,panel
DTWD2,1428,rest
VPREB1,1429,rest
INO80E,1430,rest
DFFB,1431,panel
DUS1L,1432,rest
RFNG,1433,panel
ROBO1,1434,rest
NANP,1435,rest
FAXDC2,1436,rest
CRTAP,1437,panel
STX8,1438,rest
CDK1,1439,panel
FOS,1440,panel
TMED10,1441,panel
SEMA3E,1442,rest
NUDT9,1443,panel
ELOVL6,1444,panel
HSPA4,1445,panel
HOXB9,1446,rest
CDCA4,1447,panel
LMOD2,1448,rest
TRIAP1,1449,rest
KIAA0232,1450,rest
OR7G2,1451,rest
FEZ2,1452,panel
RLN3,1453,rest
RBKS,1454,panel
GRIK1,1455,rest
SMR3B,1456,rest
CSN3,1457,rest
SCAND1,1458,panel
SHCBP1,1459,rest
GAA,1460,panel
CANT1,1461,panel
PGAM1,1462,panel
POLR1C,1463,panel
ZNF318,1464,panel
WIPF2,1465,panel
NLRP5,1466,rest
CLSTN1,1467,panel
ZNF274,1468,panel
ZIK1,1469,rest
TCEA2,1470,panel
GATM,1471,rest
NXNL1,1472,rest
BCL2,1473,panel
METTL18,1474,rest
FAM90A1,1475,rest
KLF17,1476,rest
ATPAF2,1477,rest
MAL,1478,rest
RAB33B,1479,rest
NME6,1480,rest
CYCS,1481,panel
SNTB1,1482,rest
MALT1,1483,panel
ZNF131,1484,panel
OR5A2,1485,rest
C2CD2L,1486,panel
ARNT2,1487,panel
RSPH9,1488,rest
OR9G4,1489,rest
RAD9A,1490,panel
NAA16,1491,rest
OR10W1,1492,rest
KRT2,1493,rest
OXSR1,1494,panel
RXFP4,1495,rest
PARP15,1496,rest
TUBB8P12,1497,rest
GLRX,1498,panel
SYT12,1499,rest
DMRT2,1500,rest
TRIB1,1501,panel
DAG1,1502,panel
DAB1,1503,rest
ZNRD2,1504,rest
SMARCC1,1505,panel
NABP1,1506,rest
SCAI,1507,rest
C11orf80,1508,rest
STAT5B,1509,panel
NET1,1510,panel
PHC3,1511,rest
GOLIM4,1512,rest
TLR10,1513,rest
FAM53A,1514,rest
DDX23,1515,rest
GOLGA6L2,1516,rest
IGDCC3,1517,rest
AKIRIN1,1518,rest
BRSK2,1519,rest
B4GAT1,1520,panel
GLMN,1521,rest
KCTD13,1522,rest
FUT1,1523,panel
ZIC4,1524,rest
SLC22A1,1525,rest
CHST2,1526,rest
UBE2C,1527,panel
VCPIP1,1528,rest
SPSB4,1529,rest
PSMD2,1530,panel
FAM131A,1531,rest
PCCA,1532,rest
ARHGAP1,1533,panel
CCNE2,1534,panel
ZNF25,1535,rest
CLTB,1536,panel
TBC1D10C,1537,rest
POLD4,1538,panel
DRAP1,1539,panel
FOSL1,1540,panel
CCDC85B,1541,panel
RUVBL1,1542,panel
SFN,1543,panel
MSRA,1544,panel
SWI5,1545,rest
PLEKHD1,1546,rest
TUBB6,1547,panel
CHMP6,1548,panel
OR11H4,1549,rest
ZNF404,1550,rest
ZNF575,1551,rest
CCDC121,1552,rest
CDK5R1,1553,panel
OR52E2,1554,rest
OR51G2,1555,rest
PXMP2,1556,panel
TCIM,1557,rest
FIBIN,1558,rest
SEC24C,1559,rest
CLVS1,1560,rest
TIMM22,1561,panel
ZBTB33,1562,rest
OR2G2,1563,rest
ZBED2,1564,rest
FAM187B,1565,rest
JUN,1566,panel
IL17RA,1567,rest
DNAJC28,1568,rest
SLC35G5,1569,rest
ZNF619,1570,rest
CCDC184,1571,rest
ALS2CL,1572,rest
MLF1,1573,rest
STAP2,1574,panel
DDX10,1575,panel
LCORL,1576,rest
GALNT11,1577,rest
NEUROG2,1578,rest
P4HTM,1579,panel
UCN3,1580,rest
SUZ12,1581,panel
GP5,1582,rest
EXOSC4,1583,panel
CYBC1,1584,rest
AURKB,1585,panel
RRS1,1586,panel
CYP11B2,1587,rest
GATA2,1588,panel
MROH1,1589,rest
SERTAD2,1590,rest
NKPD1,1591,rest
ZNF648,1592,rest
CCR8,1593,rest
PUF60,1594,panel
SOCS4,1595,rest
C3orf80,1596,rest
WFDC11,1597,rest
MEIOC,1598,rest
C11orf71,1599,rest
NRIP1,1600,panel
FUT7,1601,rest
YOD1,1602,rest
GPR157,1603,rest
MAP6D1,1604,rest
GPR62,1605,rest
ADIPOQ,1606,rest
SLC25A41,1607,rest
DDN,1608,rest
SOX2,1609,panel
TMEM45A,1610,rest
EDDM3A,1611,rest
COPG1,1612,rest
ADO,1613,panel
CCDC149,1614,rest
GET1,1615,panel
FAM181B,1616,rest
ZNF716,1617,rest
ASB18,1618,rest
EXT1,1619,panel
SHMT2,1620,rest
BACE2,1621,panel
C1S,1622,rest
TRAPPC6B,1623,rest
BGN,1624,rest
MFSD5,1625,rest
ADI1,1626,panel
SATB1,1627,panel
TSKU,1628,panel
NGRN,1629,panel
ACBD3,1630,panel
C16orf72,1631,rest
RGS7,1632,rest
HMGN4,1633,rest
MTA1,1634,panel
PYCR1,1635,panel
NAA38,1636,rest
PTGDR2,1637,rest
GJD3,1638,rest
TFDP3,1639,rest
MX2,1640,rest
PSMG1,1641,panel
TNFAIP8L3,1642,rest
ZNF530,1643,rest
TMEM50A,1644,panel
ACP7,1645,rest
CHEK2,1646,panel
AIFM3,1647,rest
PNMA3,1648,rest
ZNF730,1649,rest
PRKX,1650,panel
UQCR10,1651,rest
NIPSNAP1,1652,panel
KCNQ3,1653,rest
CRELD2,1654,panel
DEFB108B,1655,rest
COPB2,1656,panel
C1QTNF8,1657,rest
FOXO4,1658,panel
PROS1,1659,panel
MED12,1660,rest
HIST2H2BE,1661,panel
CLDN6,1662,rest
PRR16,1663,rest
TMEM186,1664,rest
BTBD6,1665,rest
LCN12,1666,rest
CHRM5,1667,rest
DGAT1,1668,rest
MIXL1,1669,rest
MC2R,1670,rest
PRPF39,1671,rest
C12orf56,1672,rest
ATP6V0A2,1673,rest
HGS,1674,rest
MUC1,1675,panel
IRF7,1676,rest
PDIA2,1677,rest
NDUFA4L2,1678,rest
NTF3,1679,rest
SNAI3,1680,rest
SPATA31A6,1681,rest
MORF4L1,1682,rest
SLC52A2,1683,rest
IKZF1,1684,panel
PRSS38,1685,rest
LCE3E,1686,rest
PLK5,1687,rest
TAL2,1688,rest
LRRC70,1689,rest
GPAT2,1690,rest
TMEM212,1691,rest
KRT3,1692,rest
DEFB132,1693,rest
INSIG1,1694,panel
ZNF396,1695,rest
GPATCH8,1696,panel
LYRM7,1697,rest
CXCR3,1698,rest
SERPINA11,1699,rest
ZNF395,1700,panel
EMID1,1701,rest
LILRA5,1702,rest
RNF220,1703,rest
LHFPL3,1704,rest
CHP1,1705,panel
COL4A1,1706,panel
SBK2,1707,rest
USP7,1708,panel
SAMD11,1709,rest
ERAS,1710,rest
C9orf153,1711,rest
KRTAP10-8,1712,rest
DNAH17,1713,rest
PLSCR3,1714,panel
EIF4EBP1,1715,panel
UBQLN2,1716,panel
ZNF490,1717,rest
ARL4C,1718,panel
PLSCR1,1719,panel
C10orf99,1720,rest
PPP3R2,1721,rest
PAQR9,1722,rest
ZNF177,1723,rest
IDO2,1724,rest
RBM34,1725,panel
CATSPER4,1726,rest
FBF1,1727,rest
INSYN2A,1728,rest
MSANTD1,1729,rest
ZNF292,1730,rest
ZNF527,1731,rest
S100A13,1732,panel
RRP7A,1733,rest
ZNF724,1734,rest
TDRD7,1735,rest
S100A4,1736,panel
FUT4,1737,rest
ZNF34,1738,rest
PTPN1,1739,panel
EVL,1740,panel
ZNF124,1741,rest
PIK3R4,1742,panel
MME,1743,rest
LAMA2,1744,rest
OR5AC2,1745,rest
HDAC2,1746,panel
MMP1,1747,panel
ADH1B,1748,rest
RABL6,1749,rest
ZNF418,1750,rest
POU3F4,1751,rest
TLE1,1752,panel
OR11G2,1753,rest
NHLRC2,1754,rest
ARHGEF12,1755,panel
LAGE3,1756,panel
ZNF441,1757,rest
SIGLEC15,1758,rest
IGF2R,1759,panel
SRC,1760,panel
ENTPD4,1761,rest
TBC1D9B,1762,panel
HIST1H4J,1763,rest
GTF2E2,1764,panel
ZNF165,1765,rest
LRP10,1766,panel
PDGFA,1767,panel
GALP,1768,rest
CXorf40A,1769,rest
SPTAN1,1770,panel
PSAP,1771,rest
FAM118B,1772,rest
ZNF181,1773,rest
ADH5,1774,panel
TEAD4,1775,rest
ERO1A,1776,panel
AADACL2,1777,rest
S100A6,1778,rest
MPZL1,1779,panel
DLGAP2,1780,rest
AVPR1B,1781,rest
AKR1B10,1782,rest
TFDP1,1783,panel
HSD17B11,1784,panel
DDX42,1785,panel
SPRED2,1786,panel
GFPT1,1787,panel
UVRAG,1788,rest
TXNRD1,1789,panel
ANKRD35,1790,rest
ZNF28,1791,rest
KCNRG,1792,rest
CTNND1,1793,panel
RYR2,1794,rest
KLHL9,1795,panel
MT-ND6,1796,rest
F5,1797,rest
PNP,1798,panel
FOXJ3,1799,panel
CHAMP1,1800,rest
UBE2J1,1801,panel
MT-ND4,1802,rest
SHISA4,1803,rest
CAPZA2,1804,rest
KIAA0753,1805,panel
KIF1BP,1806,panel
OR2L2,1807,rest
COX20,1808,rest
SPRR2E,1809,rest
PCMTD2,1810,rest
C1orf185,1811,rest
GIGYF2,1812,rest
RUFY2,1813,rest
NHSL2,1814,rest
ZDHHC18,1815,rest
DAXX,1816,panel
PFDN6,1817,rest
RING1,1818,rest
PSMB8,1819,panel
PJVK,1820,rest
SKIV2L,1821,panel
SPANXN5,1822,rest
HSPA1A,1823,panel
MPIG6B,1824,rest
PRAMEF14,1825,rest
MICB,1826,rest
ABCF1,1827,panel
DDR1,1828,panel
IL31,1829,rest
MAS1L,1830,rest
OR2J3,1831,rest
TCTN1,1832,panel
KRTAP1-4,1833,rest
ZNF155,1834,rest
ZNF425,1835,rest
TRIM13,1836,panel
FAM71F2,1837,rest
PSMB10,1838,panel
ADGRG1,1839,panel
OR52J3,1840,rest
OR51A4,1841,rest
ARRDC5,1842,rest
BHLHA9,1843,rest
RNPS1,1844,panel
JPT2,1845,panel
FOXL2NB,1846,rest
TMEM200C,1847,rest
CFAP44,1848,rest
SELENOH,1849,rest
SACM1L,1850,panel
TSN,1851,rest
NUP62,1852,panel
SCAF8,1853,rest
MLLT11,1854,panel
NRAS,1855,panel
GSTM2,1856,panel
ARHGAP19,1857,rest
STIMATE,1858,panel
C8orf82,1859,rest
VDAC1,1860,panel
PPM1N,1861,rest
DNASE1,1862,rest
CSNK1E,1863,panel
REPIN1,1864,rest
TSPAN4,1865,panel
MYCBP,1866,panel
MINDY4B,1867,rest
FIS1,1868,panel
DEFB133,1869,rest
ZNF727,1870,rest
IFRD2,1871,panel
FASTKD5,1872,panel
GAGE10,1873,rest
ZNF705D,1874,rest
NPEPL1,1875,panel
DEFB116,1876,rest
CEBPZOS,1877,rest
PLXNA4,1878,rest
CEBPD,1879,panel
APOL6,1880,rest
CCNL2,1881,rest
OR52B4,1882,rest
CDRT15,1883,rest
USP17L15,1884,rest
PLEKHM1,1885,panel
C14orf132,1886,rest
PARG,1887,rest
LTB,1888,rest
C2orf92,1889,rest
FNDC10,1890,rest
ARL17B,1891,rest
CCDC192,1892,rest
HSBP1,1893,rest
PLSCR5,1894,rest
RNF224,1895,rest
IFNA13,1896,rest
UQCRHL,1897,rest
PAGE2,1898,rest
TRIM26,1899,rest
MCIDAS,1900,rest
BRD3OS,1901,rest
MFRP,1902,rest
PATE3,1903,rest
ZBTB22,1904,rest
AL354761.1,1905,rest
ARHGEF38,1906,rest
CKMT1B,1907,rest
PATE4,1908,rest
TMEM250,1909,rest
TEX35,1910,rest
LY6G5B,1911,rest
SMKR1,1912,rest
PCDHGC5,1913,rest
MIF,1914,panel
KRTAP5-8,1915,rest
SERPINB10,1916,rest
PRAF2,1917,panel
AMY2A,1918,rest
UPK3B,1919,rest
IL10RB,1920,rest
UBE2V1,1921,rest
CEBPA,1922,panel
TWF2,1923,panel
INSL3,1924,rest
SPATS1,1925,rest
HS3ST5,1926,rest
PTTG2,1927,rest
AC010255.3,1928,rest
USP17L23,1929,rest
PRB1,1930,rest
PTX4,1931,rest
OC90,1932,rest
PCDHGA12,1933,rest
HOXA10,1934,panel
CLDN23,1935,rest
ZNF260,1936,rest
LYN,1937,panel
PINX1,1938,rest
NPIPB11,1939,rest
CHMP4A,1940,panel
SMIM35,1941,rest
OR6J1,1942,rest
COA8,1943,rest
ZNF225,1944,rest
POLG2,1945,panel
CNPY2,1946,rest
SLC22A31,1947,rest
RBM15B,1948,panel
KCNJ18,1949,rest
FIGNL2,1950,rest
SCRT1,1951,rest
MIA,1952,rest
IKBKE,1953,panel
NBPF15,1954,rest
UPK3BL1,1955,rest
EDDM13,1956,rest
TRABD2B,1957,rest
PRAMEF5,1958,rest
ANKRD34A,1959,rest
GRIN2B,1960,rest
NBPF26,1961,rest
ZBTB8B,1962,rest
AGBL1,1963,rest
CEACAM20,1964,rest
NUDT18,1965,rest
FCGBP,1966,rest
DUSP14,1967,panel
CCL3L1,1968,rest
HIST1H4I,1969,rest
KCNE1B,1970,rest
PIP4K2B,1971,panel
PKD1L3,1972,rest
TEX28,1973,rest
OR8K3,1974,rest
PAGR1,1975,rest
SPRR5,1976,rest
FAM237B,1977,rest
FAM240B,1978,rest
C19orf85,1979,rest
SLURP2,1980,rest
SCO2,1981,rest
AC084121.12,1982,rest
