TSPAN6	ENSG00000000003
ZNF740	ENSG00000139651
RB1	ENSG00000139687
RBM26	ENSG00000139746
MBNL2	ENSG00000139793
REM2	ENSG00000139890
KCNH5	ENSG00000140015
GPR65	ENSG00000140030
FAM181A	ENSG00000140067
WDR20	ENSG00000140153
BNIP2	ENSG00000140299
GTF2A2	ENSG00000140307
UBE2Q2	ENSG00000140367
PSTPIP1	ENSG00000140368
BCL2A1	ENSG00000140379
TSPAN3	ENSG00000140391
WDR61	ENSG00000140395
TPM1	ENSG00000140416
IGF1R	ENSG00000140443
NTRK3	ENSG00000140538
DET1	ENSG00000140543
IQGAP1	ENSG00000140575
PMM2	ENSG00000140650
PARN	ENSG00000140694
TXNL4B	ENSG00000140830
NOL3	ENSG00000140939
MBTPS1	ENSG00000140943
OSGIN1	ENSG00000140961
IRF8	ENSG00000140968
RHOT2	ENSG00000140983
PDPK1	ENSG00000140992
OR4D1	ENSG00000141194
VPS53	ENSG00000141252
SPATA22	ENSG00000141255
CLTC	ENSG00000141367
SLC39A6	ENSG00000141424
PELP1	ENSG00000141456
NPC1	ENSG00000141458
MINK1	ENSG00000141503
SAT2	ENSG00000141504
TP53	ENSG00000141510
PMAIP1	ENSG00000141682
ERBB2	ENSG00000141736
GRB7	ENSG00000141738
MVB12A	ENSG00000141971
CCDC97	ENSG00000142039
SIRT3	ENSG00000142082
IFNAR1	ENSG00000142166
APP	ENSG00000142192
AKT1	ENSG00000142208
PSMB6	ENSG00000142507
NOSIP	ENSG00000142546
EPHA2	ENSG00000142627
WDTC1	ENSG00000142784
KIF2C	ENSG00000142945
PTPRF	ENSG00000142949
MTF2	ENSG00000143033
ATP1B1	ENSG00000143153
MPC2	ENSG00000143158
CREG1	ENSG00000143162
TMCO1	ENSG00000143183
ILDR2	ENSG00000143195
MGST3	ENSG00000143198
COP1	ENSG00000143207
UFC1	ENSG00000143222
PPOX	ENSG00000143224
PFDN2	ENSG00000143256
PIGM	ENSG00000143315
PRUNE1	ENSG00000143363
SF3B4	ENSG00000143368
ADAMTSL4	ENSG00000143382
RFX5	ENSG00000143390
MINDY1	ENSG00000143409
OAZ3	ENSG00000143450
DYRK3	ENSG00000143479
DUSP10	ENSG00000143507
TP53BP2	ENSG00000143514
SLC27A3	ENSG00000143554
INTS3	ENSG00000143624
SCCPDH	ENSG00000143653
NVL	ENSG00000143748
MBOAT2	ENSG00000143797
PARP1	ENSG00000143799
LBR	ENSG00000143815
ZNF514	ENSG00000144026
NAT8	ENSG00000144035
SFXN5	ENSG00000144040
DUSP11	ENSG00000144048
RALB	ENSG00000144118
LIPT1	ENSG00000144182
HSPD1	ENSG00000144381
ACKR3	ENSG00000144476
VGLL4	ENSG00000144560
TMF1	ENSG00000144747
ATG3	ENSG00000144848
TRPC1	ENSG00000144935
TCTA	ENSG00000145022
NICN1	ENSG00000145029
STXBP5L	ENSG00000145087
MUC4	ENSG00000145113
ENOPH1	ENSG00000145293
SNCA	ENSG00000145335
CCNA2	ENSG00000145386
GLRA3	ENSG00000145451
MYO10	ENSG00000145555
SSBP2	ENSG00000145687
RASA1	ENSG00000145715
TNIP1	ENSG00000145901
GFOD1	ENSG00000145990
TNFRSF21	ENSG00000146072
TTBK1	ENSG00000146216
NFKBIE	ENSG00000146232
PM20D2	ENSG00000146281
SCML4	ENSG00000146285
TAAR2	ENSG00000146378
WTAP	ENSG00000146457
VWDE	ENSG00000146530
EGFR	ENSG00000146648
CDCA5	ENSG00000146670
IGFBP3	ENSG00000146674
TLK2	ENSG00000146872
LUC7L2	ENSG00000146963
CASK	ENSG00000147044
EBP	ENSG00000147155
IL2RG	ENSG00000147168
NSDHL	ENSG00000147383
LRP12	ENSG00000147650
POLR2K	ENSG00000147669
ZNF7	ENSG00000147789
CDKN2A	ENSG00000147889
NTRK2	ENSG00000148053
ALAD	ENSG00000148218
NOTCH1	ENSG00000148400
USP6NL	ENSG00000148429
RSU1	ENSG00000148484
PARD3	ENSG00000148498
A1CF	ENSG00000148584
POLR3A	ENSG00000148606
MKI67	ENSG00000148773
PAK1	ENSG00000149269
HYOU1	ENSG00000149428
EI24	ENSG00000149547
CHEK1	ENSG00000149554
CDH22	ENSG00000149654
LSM14B	ENSG00000149657
YTHDF1	ENSG00000149658
PLCB3	ENSG00000149782
HMGA2	ENSG00000149948
ARID5B	ENSG00000150347
LATS2	ENSG00000150457
PDCD4	ENSG00000150593
CCDC83	ENSG00000150676
RGS18	ENSG00000150681
PRSS23	ENSG00000150687
MTMR12	ENSG00000150712
PPP1R1C	ENSG00000150722
DOCK1	ENSG00000150760
DLAT	ENSG00000150768
UBE3B	ENSG00000151148
EIF4E	ENSG00000151247
NUBPL	ENSG00000151413
INPP1	ENSG00000151689
SLC25A4	ENSG00000151729
ZNF385D	ENSG00000151789
CCDC175	ENSG00000151838
PABPC3	ENSG00000151846
PARP8	ENSG00000151883
BAG3	ENSG00000151929
TMEM132D	ENSG00000151952
SPOCK1	ENSG00000152377
RPP38	ENSG00000152464
PAN3	ENSG00000152520
PLEKHH2	ENSG00000152527
DMP1	ENSG00000152592
MBNL1	ENSG00000152601
ANKRD22	ENSG00000152766
PTPRK	ENSG00000152894
MED21	ENSG00000152944
CAST	ENSG00000153113
CETN3	ENSG00000153140
SMARCA5	ENSG00000153147
OR14K1	ENSG00000153230
PTPRR	ENSG00000153233
CD8A	ENSG00000153563
RPIA	ENSG00000153574
JAZF1	ENSG00000153814
MCOLN2	ENSG00000153898
HS2ST1	ENSG00000153936
PPP2R5E	ENSG00000154001
OTULIN	ENSG00000154124
TOMM70	ENSG00000154174
ENPP3	ENSG00000154269
UCHL1	ENSG00000154277
DISP1	ENSG00000154309
C10orf90	ENSG00000154493
DIPK1A	ENSG00000154511
SORBS2	ENSG00000154556
TSEN2	ENSG00000154743
PIEZO2	ENSG00000154864
OTUD6B	ENSG00000155100
CDK19	ENSG00000155111
NIFK	ENSG00000155438
OXA1L	ENSG00000155463
ZKSCAN2	ENSG00000155592
FZD7	ENSG00000155760
RNF20	ENSG00000155827
RRAGA	ENSG00000155876
CLIC2	ENSG00000155962
PSD3	ENSG00000156011
DCK	ENSG00000156136
ALX3	ENSG00000156150
TIAM1	ENSG00000156299
SORCS3	ENSG00000156395
SFXN2	ENSG00000156398
SH3RF2	ENSG00000156463
MTERF3	ENSG00000156469
SUPV3L1	ENSG00000156502
HK1	ENSG00000156515
UBE2L6	ENSG00000156587
KAT6B	ENSG00000156650
UTP14A	ENSG00000156697
MAPK13	ENSG00000156711
TBC1D31	ENSG00000156787
PHKG2	ENSG00000156873
SASS6	ENSG00000156876
BUB1B	ENSG00000156970
BRPF1	ENSG00000156983
TATDN2	ENSG00000157014
RBPMS	ENSG00000157110
FZD1	ENSG00000157240
CLEC18A	ENSG00000157322
IL34	ENSG00000157368
KIT	ENSG00000157404
CACNA2D3	ENSG00000157445
CCNB2	ENSG00000157456
TSC22D3	ENSG00000157514
C2CD2	ENSG00000157617
BRAF	ENSG00000157764
ACAN	ENSG00000157766
PANK4	ENSG00000157881
WIPI2	ENSG00000157954
KRTCAP3	ENSG00000157992
NCK1	ENSG00000158092
RHPN1	ENSG00000158106
XDH	ENSG00000158125
FAIM	ENSG00000158234
CUL4B	ENSG00000158290
GDPD5	ENSG00000158555
NIT1	ENSG00000158793
TOMM40L	ENSG00000158882
MIS18A	ENSG00000159055
LAD1	ENSG00000159166
CSRP1	ENSG00000159176
CLIC6	ENSG00000159212
CBR1	ENSG00000159228
CBR3	ENSG00000159231
ADIPOR1	ENSG00000159346
PSMD4	ENSG00000159352
STARD9	ENSG00000159433
EFCAB14	ENSG00000159658
FAM131B	ENSG00000159784
PSKH1	ENSG00000159792
NPR2	ENSG00000159899
CALM3	ENSG00000160014
DFFA	ENSG00000160049
NR2F6	ENSG00000160113
TFF1	ENSG00000160182
RRP1B	ENSG00000160208
LRRC3	ENSG00000160233
RALGDS	ENSG00000160271
SLC2A6	ENSG00000160326
LCN1	ENSG00000160349
HIPK4	ENSG00000160396
SHKBP1	ENSG00000160410
ZDHHC12	ENSG00000160446
PKN3	ENSG00000160447
DEDD2	ENSG00000160570
SHC1	ENSG00000160691
ANO10	ENSG00000160746
PMF1	ENSG00000160783
UBQLN4	ENSG00000160803
FGFR4	ENSG00000160867
CYP3A7	ENSG00000160870
CPSF4	ENSG00000160917
VPS28	ENSG00000160948
ZNF333	ENSG00000160961
SQSTM1	ENSG00000161011
FBXL13	ENSG00000161040
ABCF3	ENSG00000161204
BDH1	ENSG00000161267
SENP3	ENSG00000161956
CCNF	ENSG00000162063
AMDHD2	ENSG00000162066
NEU3	ENSG00000162139
CYB561A3	ENSG00000162144
USP24	ENSG00000162402
NOL9	ENSG00000162408
KLHL21	ENSG00000162413
KIAA1522	ENSG00000162522
SCNN1D	ENSG00000162572
MEGF6	ENSG00000162591
USP1	ENSG00000162607
SNX7	ENSG00000162627
BRINP3	ENSG00000162670
AGL	ENSG00000162688
FAM71A	ENSG00000162771
ATF3	ENSG00000162772
DENND2D	ENSG00000162777
MAPKAPK2	ENSG00000162889
FCAMR	ENSG00000162897
TYW5	ENSG00000162971
LRATD1	ENSG00000162981
ACTG2	ENSG00000163017
COQ8A	ENSG00000163050
SGCB	ENSG00000163069
TNFAIP8L2	ENSG00000163154
VPS72	ENSG00000163159
SMCP	ENSG00000163206
DCAF16	ENSG00000163257
C1orf189	ENSG00000163263
GPR155	ENSG00000163328
SLC15A2	ENSG00000163406
ARPC2	ENSG00000163466
RNF25	ENSG00000163481
ADORA1	ENSG00000163485
TGFBR2	ENSG00000163513
ANKZF1	ENSG00000163516
FBLN2	ENSG00000163520
EIF5A2	ENSG00000163577
GTPBP8	ENSG00000163607
CDS1	ENSG00000163624
TIPARP	ENSG00000163659
SLMAP	ENSG00000163681
ABHD6	ENSG00000163686
RBM47	ENSG00000163694
APBB2	ENSG00000163697
IL17RC	ENSG00000163702
CXCL3	ENSG00000163734
CPA3	ENSG00000163751
TOPBP1	ENSG00000163781
KIF15	ENSG00000163808
WDR43	ENSG00000163811
SLC6A20	ENSG00000163817
DTX3L	ENSG00000163840
YEATS2	ENSG00000163872
GRIK3	ENSG00000163873
ZC3H12A	ENSG00000163874
KLF15	ENSG00000163884
RPN1	ENSG00000163902
PRKCD	ENSG00000163932
GNL3	ENSG00000163938
LRPAP1	ENSG00000163956
ZNF691	ENSG00000164011
PGRMC2	ENSG00000164040
CDC25A	ENSG00000164045
CAMP	ENSG00000164047
ZNF589	ENSG00000164048
DUSP7	ENSG00000164086
OTUD4	ENSG00000164164
LSM6	ENSG00000164167
SLC25A46	ENSG00000164209
CASP3	ENSG00000164305
CMYA5	ENSG00000164309
TERT	ENSG00000164362
LEAP2	ENSG00000164406
SLC35A1	ENSG00000164414
TXLNB	ENSG00000164440
CREBRF	ENSG00000164463
RAET1E	ENSG00000164520
COG5	ENSG00000164597
KIF6	ENSG00000164627
TEX47	ENSG00000164645
GPER1	ENSG00000164850
NOS3	ENSG00000164867
SLC4A2	ENSG00000164889
GBX1	ENSG00000164900
ALDH7A1	ENSG00000164904
FZD6	ENSG00000164930
WASHC5	ENSG00000164961
RPP25L	ENSG00000164967
PSIP1	ENSG00000164985
SYK	ENSG00000165025
ABCA1	ENSG00000165029
NFIL3	ENSG00000165030
ZMAT4	ENSG00000165061
KIF27	ENSG00000165115
DYNLT3	ENSG00000165169
KIAA1958	ENSG00000165185
STOML2	ENSG00000165283
BRWD3	ENSG00000165288
MELK	ENSG00000165304
CLDN2	ENSG00000165376
WRN	ENSG00000165392
INPPL1	ENSG00000165458
CRYL1	ENSG00000165475
KLHDC2	ENSG00000165516
VSTM4	ENSG00000165633
HPRT1	ENSG00000165704
PIP4P1	ENSG00000165782
CASP7	ENSG00000165806
ZFYVE1	ENSG00000165861
PACSIN3	ENSG00000165912
HTRA1	ENSG00000166033
CEP57	ENSG00000166037
IL25	ENSG00000166090
TRMT61A	ENSG00000166166
NOLC1	ENSG00000166197
FRS2	ENSG00000166225
PCBD1	ENSG00000166228
ILK	ENSG00000166333
ATP9B	ENSG00000166377
CYB5R2	ENSG00000166394
KIAA0355	ENSG00000166398
TRIM66	ENSG00000166436
ATMIN	ENSG00000166454
C16orf46	ENSG00000166455
HDGFL3	ENSG00000166503
CFAP52	ENSG00000166596
BLCAP	ENSG00000166619
PLEKHA7	ENSG00000166689
CATSPER2	ENSG00000166762
PLIN1	ENSG00000166819
PEX11A	ENSG00000166821
TERF2IP	ENSG00000166848
PLK1	ENSG00000166851
CLPX	ENSG00000166855
SMAD3	ENSG00000166949
PRR15L	ENSG00000167183
CRK	ENSG00000167193
CA4	ENSG00000167434
GATAD2A	ENSG00000167491
DHRS13	ENSG00000167536
CORO6	ENSG00000167549
TUBA1C	ENSG00000167553
GPD1	ENSG00000167588
CYP2S1	ENSG00000167600
LENG8	ENSG00000167615
TRAPPC9	ENSG00000167632
DNAAF3	ENSG00000167646
TMIGD2	ENSG00000167664
TLCD3A	ENSG00000167695
GLOD4	ENSG00000167699
TSR1	ENSG00000167721
TRPV3	ENSG00000167723
ANGPTL4	ENSG00000167772
CD320	ENSG00000167775
HID1	ENSG00000167861
KCTD5	ENSG00000167977
TRANK1	ENSG00000168016
CTNNB1	ENSG00000168036
MAJIN	ENSG00000168070
PBK	ENSG00000168078
RAB4A	ENSG00000168118
MAPK1IP1L	ENSG00000168175
DDIT4	ENSG00000168209
NT5DC2	ENSG00000168268
KIF5C	ENSG00000168280
THAP11	ENSG00000168286
KCTD6	ENSG00000168301
XIRP1	ENSG00000168334
ARF4	ENSG00000168374
MLKL	ENSG00000168404
COG7	ENSG00000168434
RAB31	ENSG00000168461
GBX2	ENSG00000168505
TMEM223	ENSG00000168569
STAT3	ENSG00000168610
PKIG	ENSG00000168734
TET2	ENSG00000168769
TSPAN5	ENSG00000168785
MAT2A	ENSG00000168906
PPIC	ENSG00000168938
STXBP6	ENSG00000168952
ATF5	ENSG00000169136
NSMCE1	ENSG00000169189
RGS14	ENSG00000169220
TBC1D10B	ENSG00000169221
ADRB2	ENSG00000169252
STK32A	ENSG00000169302
ELSPBP1	ENSG00000169393
PTK2	ENSG00000169398
CLIC4	ENSG00000169504
DTWD2	ENSG00000169570
VPREB1	ENSG00000169575
INO80E	ENSG00000169592
DFFB	ENSG00000169598
DUS1L	ENSG00000169718
RFNG	ENSG00000169733
ROBO1	ENSG00000169855
NANP	ENSG00000170191
FAXDC2	ENSG00000170271
CRTAP	ENSG00000170275
STX8	ENSG00000170310
CDK1	ENSG00000170312
FOS	ENSG00000170345
TMED10	ENSG00000170348
SEMA3E	ENSG00000170381
NUDT9	ENSG00000170502
ELOVL6	ENSG00000170522
HSPA4	ENSG00000170606
HOXB9	ENSG00000170689
CDCA4	ENSG00000170779
LMOD2	ENSG00000170807
TRIAP1	ENSG00000170855
KIAA0232	ENSG00000170871
OR7G2	ENSG00000170923
FEZ2	ENSG00000171055
RLN3	ENSG00000171136
RBKS	ENSG00000171174
GRIK1	ENSG00000171189
SMR3B	ENSG00000171201
CSN3	ENSG00000171209
SCAND1	ENSG00000171222
SHCBP1	ENSG00000171241
GAA	ENSG00000171298
CANT1	ENSG00000171302
PGAM1	ENSG00000171314
POLR1C	ENSG00000171453
ZNF318	ENSG00000171467
WIPF2	ENSG00000171475
NLRP5	ENSG00000171487
CLSTN1	ENSG00000171603
ZNF274	ENSG00000171606
ZIK1	ENSG00000171649
TCEA2	ENSG00000171703
GATM	ENSG00000171766
NXNL1	ENSG00000171773
BCL2	ENSG00000171791
METTL18	ENSG00000171806
FAM90A1	ENSG00000171847
KLF17	ENSG00000171872
ATPAF2	ENSG00000171953
MAL	ENSG00000172005
RAB33B	ENSG00000172007
NME6	ENSG00000172113
CYCS	ENSG00000172115
SNTB1	ENSG00000172164
MALT1	ENSG00000172175
ZNF131	ENSG00000172262
OR5A2	ENSG00000172324
C2CD2L	ENSG00000172375
ARNT2	ENSG00000172379
RSPH9	ENSG00000172426
OR9G4	ENSG00000172457
RAD9A	ENSG00000172613
NAA16	ENSG00000172766
OR10W1	ENSG00000172772
KRT2	ENSG00000172867
OXSR1	ENSG00000172939
RXFP4	ENSG00000173080
PARP15	ENSG00000173200
TUBB8P12	ENSG00000173213
GLRX	ENSG00000173221
SYT12	ENSG00000173227
DMRT2	ENSG00000173253
TRIB1	ENSG00000173334
DAG1	ENSG00000173402
DAB1	ENSG00000173406
ZNRD2	ENSG00000173465
SMARCC1	ENSG00000173473
NABP1	ENSG00000173559
SCAI	ENSG00000173611
C11orf80	ENSG00000173715
STAT5B	ENSG00000173757
NET1	ENSG00000173848
PHC3	ENSG00000173889
GOLIM4	ENSG00000173905
TLR10	ENSG00000174123
FAM53A	ENSG00000174137
DDX23	ENSG00000174243
GOLGA6L2	ENSG00000174450
IGDCC3	ENSG00000174498
AKIRIN1	ENSG00000174574
BRSK2	ENSG00000174672
B4GAT1	ENSG00000174684
GLMN	ENSG00000174842
KCTD13	ENSG00000174943
FUT1	ENSG00000174951
ZIC4	ENSG00000174963
SLC22A1	ENSG00000175003
CHST2	ENSG00000175040
UBE2C	ENSG00000175063
VCPIP1	ENSG00000175073
SPSB4	ENSG00000175093
PSMD2	ENSG00000175166
FAM131A	ENSG00000175182
PCCA	ENSG00000175198
ARHGAP1	ENSG00000175220
CCNE2	ENSG00000175305
ZNF25	ENSG00000175395
CLTB	ENSG00000175416
TBC1D10C	ENSG00000175463
POLD4	ENSG00000175482
DRAP1	ENSG00000175550
FOSL1	ENSG00000175592
CCDC85B	ENSG00000175602
RUVBL1	ENSG00000175792
SFN	ENSG00000175793
MSRA	ENSG00000175806
SWI5	ENSG00000175854
PLEKHD1	ENSG00000175985
TUBB6	ENSG00000176014
CHMP6	ENSG00000176108
OR11H4	ENSG00000176198
ZNF404	ENSG00000176222
ZNF575	ENSG00000176472
CCDC121	ENSG00000176714
CDK5R1	ENSG00000176749
OR52E2	ENSG00000176787
OR51G2	ENSG00000176893
PXMP2	ENSG00000176894
TCIM	ENSG00000176907
FIBIN	ENSG00000176971
SEC24C	ENSG00000176986
CLVS1	ENSG00000177182
TIMM22	ENSG00000177370
ZBTB33	ENSG00000177485
OR2G2	ENSG00000177489
ZBED2	ENSG00000177494
FAM187B	ENSG00000177558
JUN	ENSG00000177606
IL17RA	ENSG00000177663
DNAJC28	ENSG00000177692
SLC35G5	ENSG00000177710
ZNF619	ENSG00000177873
CCDC184	ENSG00000177875
ALS2CL	ENSG00000178038
MLF1	ENSG00000178053
STAP2	ENSG00000178078
DDX10	ENSG00000178105
LCORL	ENSG00000178177
GALNT11	ENSG00000178234
NEUROG2	ENSG00000178403
P4HTM	ENSG00000178467
UCN3	ENSG00000178473
SUZ12	ENSG00000178691
GP5	ENSG00000178732
EXOSC4	ENSG00000178896
CYBC1	ENSG00000178927
AURKB	ENSG00000178999
RRS1	ENSG00000179041
CYP11B2	ENSG00000179142
GATA2	ENSG00000179348
MROH1	ENSG00000179832
SERTAD2	ENSG00000179833
NKPD1	ENSG00000179846
ZNF648	ENSG00000179930
CCR8	ENSG00000179934
PUF60	ENSG00000179950
SOCS4	ENSG00000180008
C3orf80	ENSG00000180044
WFDC11	ENSG00000180083
MEIOC	ENSG00000180336
C11orf71	ENSG00000180425
NRIP1	ENSG00000180530
FUT7	ENSG00000180549
YOD1	ENSG00000180667
GPR157	ENSG00000180758
MAP6D1	ENSG00000180834
GPR62	ENSG00000180929
ADIPOQ	ENSG00000181092
SLC25A41	ENSG00000181240
DDN	ENSG00000181418
SOX2	ENSG00000181449
TMEM45A	ENSG00000181458
EDDM3A	ENSG00000181562
COPG1	ENSG00000181789
ADO	ENSG00000181915
CCDC149	ENSG00000181982
GET1	ENSG00000182093
FAM181B	ENSG00000182103
ZNF716	ENSG00000182111
ASB18	ENSG00000182177
EXT1	ENSG00000182197
SHMT2	ENSG00000182199
BACE2	ENSG00000182240
C1S	ENSG00000182326
TRAPPC6B	ENSG00000182400
BGN	ENSG00000182492
MFSD5	ENSG00000182544
ADI1	ENSG00000182551
SATB1	ENSG00000182568
TSKU	ENSG00000182704
NGRN	ENSG00000182768
ACBD3	ENSG00000182827
C16orf72	ENSG00000182831
RGS7	ENSG00000182901
HMGN4	ENSG00000182952
MTA1	ENSG00000182979
PYCR1	ENSG00000183010
NAA38	ENSG00000183011
PTGDR2	ENSG00000183134
GJD3	ENSG00000183153
TFDP3	ENSG00000183434
MX2	ENSG00000183486
PSMG1	ENSG00000183527
TNFAIP8L3	ENSG00000183578
ZNF530	ENSG00000183647
TMEM50A	ENSG00000183726
ACP7	ENSG00000183760
CHEK2	ENSG00000183765
AIFM3	ENSG00000183773
PNMA3	ENSG00000183837
ZNF730	ENSG00000183850
PRKX	ENSG00000183943
UQCR10	ENSG00000184076
NIPSNAP1	ENSG00000184117
KCNQ3	ENSG00000184156
CRELD2	ENSG00000184164
DEFB108B	ENSG00000184276
COPB2	ENSG00000184432
C1QTNF8	ENSG00000184471
FOXO4	ENSG00000184481
PROS1	ENSG00000184500
MED12	ENSG00000184634
HIST2H2BE	ENSG00000184678
CLDN6	ENSG00000184697
PRR16	ENSG00000184838
TMEM186	ENSG00000184857
BTBD6	ENSG00000184887
LCN12	ENSG00000184925
CHRM5	ENSG00000184984
DGAT1	ENSG00000185000
MIXL1	ENSG00000185155
MC2R	ENSG00000185231
PRPF39	ENSG00000185246
C12orf56	ENSG00000185306
ATP6V0A2	ENSG00000185344
HGS	ENSG00000185359
MUC1	ENSG00000185499
IRF7	ENSG00000185507
PDIA2	ENSG00000185615
NDUFA4L2	ENSG00000185633
NTF3	ENSG00000185652
SNAI3	ENSG00000185669
SPATA31A6	ENSG00000185775
MORF4L1	ENSG00000185787
SLC52A2	ENSG00000185803
IKZF1	ENSG00000185811
PRSS38	ENSG00000185888
LCE3E	ENSG00000185966
PLK5	ENSG00000185988
TAL2	ENSG00000186051
LRRC70	ENSG00000186105
GPAT2	ENSG00000186281
TMEM212	ENSG00000186329
KRT3	ENSG00000186442
DEFB132	ENSG00000186458
INSIG1	ENSG00000186480
ZNF396	ENSG00000186496
GPATCH8	ENSG00000186566
LYRM7	ENSG00000186687
CXCR3	ENSG00000186810
SERPINA11	ENSG00000186910
ZNF395	ENSG00000186918
EMID1	ENSG00000186998
LILRA5	ENSG00000187116
RNF220	ENSG00000187147
LHFPL3	ENSG00000187416
CHP1	ENSG00000187446
COL4A1	ENSG00000187498
SBK2	ENSG00000187550
USP7	ENSG00000187555
SAMD11	ENSG00000187634
ERAS	ENSG00000187682
C9orf153	ENSG00000187753
KRTAP10-8	ENSG00000187766
DNAH17	ENSG00000187775
PLSCR3	ENSG00000187838
EIF4EBP1	ENSG00000187840
UBQLN2	ENSG00000188021
ZNF490	ENSG00000188033
ARL4C	ENSG00000188042
PLSCR1	ENSG00000188313
C10orf99	ENSG00000188373
PPP3R2	ENSG00000188386
PAQR9	ENSG00000188582
ZNF177	ENSG00000188629
IDO2	ENSG00000188676
RBM34	ENSG00000188739
CATSPER4	ENSG00000188782
FBF1	ENSG00000188878
INSYN2A	ENSG00000188916
MSANTD1	ENSG00000188981
ZNF292	ENSG00000188994
ZNF527	ENSG00000189164
S100A13	ENSG00000189171
RRP7A	ENSG00000189306
ZNF724	ENSG00000196081
TDRD7	ENSG00000196116
S100A4	ENSG00000196154
FUT4	ENSG00000196371
ZNF34	ENSG00000196378
PTPN1	ENSG00000196396
EVL	ENSG00000196405
ZNF124	ENSG00000196418
PIK3R4	ENSG00000196455
MME	ENSG00000196549
LAMA2	ENSG00000196569
OR5AC2	ENSG00000196578
HDAC2	ENSG00000196591
MMP1	ENSG00000196611
ADH1B	ENSG00000196616
RABL6	ENSG00000196642
ZNF418	ENSG00000196724
POU3F4	ENSG00000196767
TLE1	ENSG00000196781
OR11G2	ENSG00000196832
NHLRC2	ENSG00000196865
ARHGEF12	ENSG00000196914
LAGE3	ENSG00000196976
ZNF441	ENSG00000197044
SIGLEC15	ENSG00000197046
IGF2R	ENSG00000197081
SRC	ENSG00000197122
ENTPD4	ENSG00000197217
TBC1D9B	ENSG00000197226
HIST1H4J	ENSG00000197238
GTF2E2	ENSG00000197265
ZNF165	ENSG00000197279
LRP10	ENSG00000197324
PDGFA	ENSG00000197461
GALP	ENSG00000197487
CXorf40A	ENSG00000197620
SPTAN1	ENSG00000197694
PSAP	ENSG00000197746
FAM118B	ENSG00000197798
ZNF181	ENSG00000197841
ADH5	ENSG00000197894
TEAD4	ENSG00000197905
ERO1A	ENSG00000197930
AADACL2	ENSG00000197953
S100A6	ENSG00000197956
MPZL1	ENSG00000197965
DLGAP2	ENSG00000198010
AVPR1B	ENSG00000198049
AKR1B10	ENSG00000198074
TFDP1	ENSG00000198176
HSD17B11	ENSG00000198189
DDX42	ENSG00000198231
SPRED2	ENSG00000198369
GFPT1	ENSG00000198380
UVRAG	ENSG00000198382
TXNRD1	ENSG00000198431
ANKRD35	ENSG00000198483
ZNF28	ENSG00000198538
KCNRG	ENSG00000198553
CTNND1	ENSG00000198561
RYR2	ENSG00000198626
KLHL9	ENSG00000198642
MT-ND6	ENSG00000198695
F5	ENSG00000198734
PNP	ENSG00000198805
FOXJ3	ENSG00000198815
CHAMP1	ENSG00000198824
UBE2J1	ENSG00000198833
MT-ND4	ENSG00000198886
SHISA4	ENSG00000198892
CAPZA2	ENSG00000198898
KIAA0753	ENSG00000198920
KIF1BP	ENSG00000198954
OR2L2	ENSG00000203663
COX20	ENSG00000203667
SPRR2E	ENSG00000203785
PCMTD2	ENSG00000203880
C1orf185	ENSG00000204006
GIGYF2	ENSG00000204120
RUFY2	ENSG00000204130
NHSL2	ENSG00000204131
ZDHHC18	ENSG00000204160
DAXX	ENSG00000204209
PFDN6	ENSG00000204220
RING1	ENSG00000204227
PSMB8	ENSG00000204264
PJVK	ENSG00000204311
SKIV2L	ENSG00000204351
SPANXN5	ENSG00000204363
HSPA1A	ENSG00000204389
MPIG6B	ENSG00000204420
PRAMEF14	ENSG00000204481
MICB	ENSG00000204516
ABCF1	ENSG00000204574
DDR1	ENSG00000204580
IL31	ENSG00000204671
MAS1L	ENSG00000204687
OR2J3	ENSG00000204701
TCTN1	ENSG00000204852
KRTAP1-4	ENSG00000204887
ZNF155	ENSG00000204920
ZNF425	ENSG00000204947
TRIM13	ENSG00000204977
FAM71F2	ENSG00000205085
PSMB10	ENSG00000205220
ADGRG1	ENSG00000205336
OR52J3	ENSG00000205495
OR51A4	ENSG00000205497
ARRDC5	ENSG00000205784
BHLHA9	ENSG00000205899
RNPS1	ENSG00000205937
JPT2	ENSG00000206053
FOXL2NB	ENSG00000206262
TMEM200C	ENSG00000206432
CFAP44	ENSG00000206530
SELENOH	ENSG00000211450
SACM1L	ENSG00000211456
TSN	ENSG00000211460
NUP62	ENSG00000213024
SCAF8	ENSG00000213079
MLLT11	ENSG00000213190
NRAS	ENSG00000213281
GSTM2	ENSG00000213366
ARHGAP19	ENSG00000213390
STIMATE	ENSG00000213533
C8orf82	ENSG00000213563
VDAC1	ENSG00000213585
PPM1N	ENSG00000213889
DNASE1	ENSG00000213918
CSNK1E	ENSG00000213923
REPIN1	ENSG00000214022
TSPAN4	ENSG00000214063
MYCBP	ENSG00000214114
MINDY4B	ENSG00000214237
FIS1	ENSG00000214253
DEFB133	ENSG00000214643
ZNF727	ENSG00000214652
IFRD2	ENSG00000214706
FASTKD5	ENSG00000215251
GAGE10	ENSG00000215274
ZNF705D	ENSG00000215343
NPEPL1	ENSG00000215440
DEFB116	ENSG00000215545
CEBPZOS	ENSG00000218739
PLXNA4	ENSG00000221866
CEBPD	ENSG00000221869
APOL6	ENSG00000221963
CCNL2	ENSG00000221978
OR52B4	ENSG00000221996
CDRT15	ENSG00000223510
USP17L15	ENSG00000223569
